

Date 	Value
Jun 1, 1977 	412.27
May 1, 1977 	412.79
Apr 1, 1977 	416.07
Mar 1, 1977 	426.13
Feb 1, 1977 	430.72
Jan 1, 1977 	447.21
Dec 1, 1976 	453.41
Nov 1, 1976 	439.76
Oct 1, 1976 	443.57
Sep 1, 1976 	461.63
Aug 1, 1976 	453.58
Jul 1, 1976 	459.94
Jun 1, 1976 	451.72
May 1, 1976 	451.44
Apr 1, 1976 	457.80
Mar 1, 1976 	455.83
Feb 1, 1976 	454.39
Jan 1, 1976 	439.07
Dec 1, 1975 	402.81
Nov 1, 1975 	410.51
Oct 1, 1975 	406.61
Sep 1, 1975 	390.84
Aug 1, 1975 	397.83
Jul 1, 1975 	430.09
Jun 1, 1975 	434.48
May 1, 1975 	426.85
Apr 1, 1975 	403.64
Mar 1, 1975 	400.68
Feb 1, 1975 	384.54
Jan 1, 1975 	351.01
Dec 1, 1974 	325.71
Nov 1, 1974 	351.09
Oct 1, 1974 	342.50
Sep 1, 1974 	339.30
Aug 1, 1974 	383.25
Jul 1, 1974 	404.64
Jun 1, 1974 	461.85
May 1, 1974 	465.03
Apr 1, 1974 	485.49
Mar 1, 1974 	513.78
Feb 1, 1974 	499.00
Jan 1, 1974 	519.81
Dec 1, 1973 	517.06
Nov 1, 1973 	560.08
Oct 1, 1973 	606.88
Sep 1, 1973 	588.83
Aug 1, 1973 	580.08
Jul 1, 1973 	601.93
Jun 1, 1973 	597.59
May 1, 1973 	615.45
Apr 1, 1973 	637.61
Mar 1, 1973 	654.25
Feb 1, 1973 	670.93
Jan 1, 1973 	700.50
Dec 1, 1972 	696.81
Nov 1, 1972 	684.19
Oct 1, 1972 	653.03
Sep 1, 1972 	654.94
Aug 1, 1972 	666.10
Jul 1, 1972 	644.83
Jun 1, 1972 	652.76
May 1, 1972 	652.51
Apr 1, 1972 	660.76
Mar 1, 1972 	655.66
Feb 1, 1972 	642.00
Jan 1, 1972 	633.47
Dec 1, 1971 	608.14
Nov 1, 1971 	571.74
Oct 1, 1971 	599.53
Sep 1, 1971 	614.03
Aug 1, 1971 	600.69
Jul 1, 1971 	613.07
Jun 1, 1971 	619.05
May 1, 1971 	635.41
Apr 1, 1971 	647.38
Mar 1, 1971 	627.57
Feb 1, 1971 	613.42
Jan 1, 1971 	592.04
Dec 1, 1970 	570.25
Nov 1, 1970 	536.41
Oct 1, 1970 	539.71
Sep 1, 1970 	530.95
Aug 1, 1970 	503.56
Jul 1, 1970 	489.34
Jun 1, 1970 	491.02
May 1, 1970 	496.63
Apr 1, 1970 	562.67
Mar 1, 1970 	584.90
Feb 1, 1970 	578.10
Jan 1, 1970 	602.16
Dec 1, 1969 	609.10
Nov 1, 1969 	646.63
Oct 1, 1969 	645.43
Sep 1, 1969 	642.05
Aug 1, 1969 	641.54
Jul 1, 1969 	648.66
Jun 1, 1969 	682.71
